column9	column10	column11	column12	column13	column14
10	245	81	100	78	97
13	246	14	53	0	36
18	96	1	47	39	84
21	144	4	70	4	77
22	5167	0	17	77	99
25	213	70	99	49	80
26	214	19	42	0	28
26	215	59	73	0	9
31	170	30	87	44	100
32	171	0	78	15	99
33	172	0	69	21	96
34	173	0	63	30	93
34	174	65	99	5	41
35	174	0	55	41	99
35	175	57	99	1	43
42	99	20	100	0	76
42	744	29	70	4	43
43	105	7	41	30	67
45	3536	0	55	6	61
47	203	5	67	10	90
53	3425	17	59	51	99
54	200	0	35	54	91
54	548	63	97	38	70
55	201	0	54	34	86
58	207	13	96	0	87
64	3140	35	73	11	48
65	573	21	96	0	73
67	575	15	55	0	40
70	577	4	31	0	49
70	577	43	53	90	100
71	579	1	68	5	100
72	581	16	65	2	70
77	636	18	39	44	73
82	115	55	99	32	83
82	621	72	99	0	23
83	615	56	99	52	96
83	621	0	38	23	62
84	616	4	60	0	52
84	618	58	96	51	94
93	587	0	29	66	99
93	588	29	50	0	21
102	590	60	98	59	100
103	591	2	64	0	57
104	592	0	24	60	84
107	730	27	85	1	74
108	731	0	58	34	99
108	732	9	72	21	83
110	736	12	60	3	66
113	734	37	68	26	59
118	510	3	95	0	98
118	512	57	99	13	48
119	511	0	62	2	95
119	514	8	18	0	10
120	4353	18	99	1	68
122	514	38	69	41	71
123	681	0	57	43	100
123	682	57	99	0	42
124	682	0	50	43	99
124	683	49	99	0	60
125	683	0	29	63	93
125	684	20	100	8	94
126	685	4	86	0	100
127	686	0	65	19	92
128	688	1	66	32	100
128	689	66	99	0	36
129	689	0	55	36	99
129	690	55	100	0	50
130	690	0	51	50	100
130	691	51	99	0	59
131	691	3	26	71	99
131	692	25	99	1	75
132	693	21	100	0	98
133	696	40	99	0	65
134	696	0	25	65	100
134	697	25	78	0	48
146	658	66	99	25	60
147	658	0	42	60	100
147	659	41	98	0	56
148	659	0	26	70	97
148	661	57	85	16	44
150	4084	0	40	55	99
153	751	21	61	50	100
154	752	0	61	42	99
157	745	23	58	0	33
157	5178	17	55	64	97
158	747	0	34	59	98
162	653	17	74	34	95
163	655	60	87	55	84
163	2429	56	66	0	10
164	656	59	74	83	99
164	656	6	24	0	12
164	2429	0	76	11	100
165	657	0	57	21	82
167	782	0	22	36	54
167	786	33	100	33	93
171	764	6	70	0	100
172	768	1	61	0	46
173	783	53	78	0	22
174	784	0	68	29	90
176	771	45	96	32	99
177	772	9	95	0	94
178	773	1	65	9	73
178	774	69	100	19	50
180	761	6	23	74	93
180	762	24	84	2	79
181	776	20	53	54	87
181	777	50	74	5	29
184	793	34	68	54	100
184	794	68	100	0	49
185	794	0	50	49	99
185	795	70	99	55	82
186	796	33	67	60	99
187	799	0	34	52	100
187	800	35	63	2	35
187	801	48	96	18	63
188	802	0	34	11	41
190	803	58	100	11	83
192	819	29	99	0	79
193	804	63	100	56	95
194	805	4	85	0	99
195	806	4	37	17	52
196	809	1	62	27	100
197	812	43	65	0	22
197	812	86	98	73	85
198	813	19	93	0	74
200	824	14	68	49	100
200	825	73	98	30	62
201	826	23	99	0	84
202	827	14	99	0	76
203	828	14	76	9	100
204	830	3	42	64	100
205	856	5	65	35	99
206	857	0	19	34	54
209	840	8	43	65	100
209	841	43	99	0	61
210	841	0	32	61	94
210	842	30	100	7	90
211	843	11	61	0	48
211	843	74	96	77	99
212	838	55	99	0	41
213	839	20	42	0	19
213	840	71	100	0	28
214	840	0	13	33	46
214	845	15	66	50	100
217	847	0	73	21	100
218	848	0	60	42	100
218	849	60	97	0	34
219	852	0	58	28	78
220	861	0	52	47	100
220	862	52	100	0	48
221	862	0	62	48	89
221	864	42	98	9	69
222	864	0	29	72	99
222	865	29	100	0	71
223	867	69	99	7	50
224	867	0	37	50	96
224	869	68	99	0	31
225	870	68	100	0	30
226	870	0	67	30	100
226	871	67	100	0	39
227	871	0	59	39	99
228	875	0	43	50	91
230	874	0	72	9	91
231	877	41	99	10	100
232	878	0	73	9	92
233	879	0	14	26	40
233	879	11	73	42	100
238	999	49	98	3	42
239	1000	29	100	0	71
240	1000	0	31	71	99
241	881	0	83	7	99
241	882	83	99	0	16
242	882	0	83	16	99
242	883	82	99	0	23
243	883	0	73	23	99
245	885	0	67	26	100
245	886	67	100	0	48
246	886	0	53	43	100
246	887	53	77	0	24
246	887	76	99	33	60
247	887	6	44	61	99
249	888	25	79	48	100
251	890	49	80	52	77
255	902	71	100	4	47
256	902	0	48	47	100
256	903	48	99	0	53
257	903	0	53	53	99
257	904	53	100	0	60
258	904	0	32	60	99
258	906	51	98	9	58
261	895	20	100	0	95
262	896	4	100	0	100
263	897	3	65	12	99
264	898	0	49	36	99
264	899	53	100	15	63
265	899	0	35	63	100
265	900	35	99	0	68
266	900	0	27	68	95
270	907	13	99	0	95
271	908	5	32	0	30
271	1033	34	98	16	100
272	1034	3	63	1	62
278	1019	0	59	42	99
278	1020	58	99	4	39
279	1020	0	40	39	94
279	1021	60	92	55	98
280	1023	35	97	0	67
281	1025	1	55	14	88
281	1026	55	99	1	70
282	1027	21	94	1	83
283	1028	0	77	5	99
283	1029	78	99	2	25
284	1029	0	47	25	100
285	1031	4	53	52	100
285	1032	53	82	0	28
287	1035	0	35	57	99
287	1036	35	100	1	70
288	1036	0	30	70	100
288	1037	30	68	0	31
293	1050	14	94	0	99
295	1052	32	52	80	94
295	1052	5	22	24	45
296	1054	16	92	6	99
300	909	0	78	28	99
300	910	78	95	0	17
301	910	0	39	18	54
302	913	0	46	27	73
302	914	50	100	0	48
303	915	53	79	78	99
304	916	2	26	64	84
304	917	32	100	32	98
305	919	19	73	39	100
305	920	73	99	0	26
306	920	0	51	26	72
306	922	57	79	78	100
306	923	79	90	0	11
307	923	18	88	32	95
309	943	86	99	71	84
309	4935	4	46	19	63
310	943	0	16	84	100
310	944	16	99	0	88
311	945	10	61	0	61
312	947	1	80	0	100
312	948	80	100	0	20
313	948	0	32	20	70
314	953	0	76	5	99
314	954	76	100	0	28
316	955	0	38	57	99
316	956	38	98	0	60
317	956	2	28	62	92
318	958	8	94	0	91
319	959	0	84	8	97
320	960	0	39	55	100
320	973	74	100	3	28
321	974	38	99	0	91
323	980	49	91	7	44
