column9	column10	column11	column12	column13	column14
324	981	2	51	46	93
325	986	57	100	0	76
326	987	12	73	37	99
327	988	0	46	53	99
327	989	46	98	5	65
328	989	0	27	67	100
328	990	27	89	0	100
329	992	11	89	1	100
330	997	35	92	33	100
332	1005	0	91	12	97
333	1008	10	98	0	92
334	1009	2	94	0	97
335	1011	0	57	44	99
336	1013	29	74	41	86
336	1013	9	20	1	13
337	1014	0	62	36	100
340	1064	65	100	14	57
341	1066	42	99	30	88
342	1066	0	12	88	100
342	1067	11	85	0	99
342	1068	85	100	0	15
343	1068	0	69	18	100
343	1069	69	95	0	34
344	1069	0	42	42	99
344	1070	44	99	25	88
345	1071	2	70	0	100
345	1072	70	99	0	59
346	1072	0	29	59	89
348	1076	33	85	44	98
349	1077	0	52	18	99
349	1078	50	89	53	100
350	1080	10	90	9	100
351	1081	0	84	9	97
352	1083	0	54	44	99
352	1085	77	95	19	36
353	1087	0	35	14	49
353	1089	39	100	4	70
354	1089	0	17	70	99
354	1090	21	65	2	62
354	1092	78	99	0	32
355	1092	0	55	34	90
355	1094	72	100	3	26
356	1094	0	15	26	41
356	1094	21	52	40	99
357	1095	1	30	69	100
357	1096	47	78	69	99
358	1103	19	61	32	71
358	1104	22	52	1	35
359	1105	0	64	37	99
362	1111	15	95	0	88
364	1108	37	86	38	96
365	1112	0	41	28	70
366	1116	21	80	6	66
367	1119	50	88	2	45
368	1111	68	99	0	31
370	1122	29	57	58	90
370	1123	56	79	21	42
373	1120	21	95	0	98
375	1126	2	56	40	100
376	1127	0	46	49	99
376	1128	12	29	2	21
376	1128	62	99	31	68
377	1128	0	25	73	100
377	1129	25	99	0	79
378	1129	0	21	79	100
378	1130	21	98	0	90
385	1133	0	61	39	100
385	1134	61	80	0	19
386	1135	6	66	0	91
387	1138	3	45	36	87
387	1139	46	63	0	17
387	1139	74	99	59	76
388	1140	7	55	47	99
388	1141	55	100	0	40
389	1141	0	21	40	62
389	1141	18	36	63	100
389	1142	36	99	0	68
390	1142	0	12	68	80
390	1144	35	100	0	63
391	1144	0	32	63	99
391	1145	32	99	4	68
392	1145	0	22	68	99
394	1146	23	59	62	100
394	1147	59	97	0	46
395	1147	2	36	46	80
397	1161	57	67	0	10
397	1162	73	100	9	34
398	1162	0	73	34	95
399	1152	23	49	77	99
400	1153	0	13	87	100
400	1154	13	62	0	54
402	1157	56	99	8	60
403	1176	52	99	7	55
404	1177	36	99	0	85
405	1178	16	100	0	83
406	1179	20	99	0	74
407	1179	0	26	74	100
414	1174	1	36	11	44
416	1164	0	50	35	88
417	1170	31	92	2	67
419	1181	1	48	45	82
419	1182	0	48	25	70
419	1184	47	100	3	63
420	1184	0	35	63	100
420	1185	35	100	0	64
422	1189	37	60	0	24
426	1191	1	57	1	59
433	1195	1	14	18	31
433	1195	23	57	63	100
433	1196	57	92	0	39
433	1197	84	99	46	60
434	1196	13	31	79	99
434	1197	28	64	0	77
434	1198	74	100	37	69
435	1199	27	99	0	82
436	1200	15	95	0	99
437	1201	1	70	13	99
437	1202	70	100	0	30
438	1202	0	56	30	100
438	1203	56	99	0	50
439	1204	21	56	63	100
439	1205	56	74	0	20
439	1206	84	100	0	16
440	1207	7	36	64	100
440	1208	36	55	0	21
442	1211	3	20	19	36
442	1212	38	99	0	67
443	1212	0	23	67	99
443	1213	6	46	17	59
443	1214	47	100	9	61
444	1214	0	28	61	95
445	1231	0	23	0	19
446	1237	9	21	0	12
446	1238	49	71	0	20
447	1239	5	98	3	90
448	1239	0	13	87	100
448	1240	13	96	0	94
449	1241	8	100	1	95
450	1243	19	59	5	43
451	1245	2	86	0	99
452	1246	0	77	21	99
453	1247	0	70	28	99
454	1248	0	43	52	100
454	1249	67	99	65	94
455	1250	5	100	0	95
459	1251	24	77	60	99
461	1252	0	55	42	99
461	1253	59	100	0	51
462	1253	0	26	51	77
463	1254	0	69	19	100
463	1255	69	100	0	36
464	1255	0	65	36	99
465	1269	33	77	54	100
465	1270	77	99	0	22
466	1270	0	28	22	52
466	1278	31	99	0	81
467	1279	13	100	0	98
468	1280	2	85	0	99
469	1281	0	83	21	87
470	1283	0	80	20	98
473	1288	1	16	8	23
474	1271	3	53	37	95
475	1273	15	87	3	93
476	1274	0	68	23	99
477	1275	0	60	38	100
477	1276	61	100	2	67
479	1290	31	99	0	66
479	1292	54	99	29	68
483	1296	50	99	14	65
484	1296	0	31	65	100
484	1297	31	100	2	75
485	1297	0	22	75	99
485	1298	22	100	0	79
486	1298	0	21	79	100
486	1299	21	46	0	29
486	1299	53	67	85	99
486	1300	67	93	0	28
487	1313	2	89	0	94
488	1311	6	63	43	100
488	1312	63	98	0	43
490	1321	1	67	11	100
491	1301	54	100	0	46
492	1301	3	57	45	99
492	1302	61	100	0	54
493	1302	0	55	54	100
493	1303	55	99	0	44
494	1303	0	66	44	99
494	1304	66	100	0	34
495	1304	3	67	33	90
495	1305	67	100	0	33
496	1305	0	58	33	99
496	1306	58	99	0	40
497	1306	0	61	40	99
497	1307	61	100	0	45
498	1307	0	50	45	100
498	1308	54	99	0	46
499	1309	44	99	0	58
500	1309	0	30	75	100
500	1310	30	99	0	71
501	1319	60	100	29	68
506	1323	30	94	20	89
507	1325	0	54	37	100
507	1326	54	100	0	60
509	1329	10	97	15	99
509	1353	21	39	82	99
509	1354	39	99	0	61
514	1331	47	78	0	37
514	1331	78	100	52	74
515	1332	8	29	5	36
516	1334	15	99	0	99
517	1335	0	57	1	56
517	1336	58	91	0	40
518	1337	1	74	0	98
519	1342	35	100	4	72
520	1342	0	12	72	84
520	1343	13	100	6	88
521	1344	11	66	0	98
521	1345	66	99	0	55
522	1345	0	36	55	99
522	1346	36	96	0	61
523	1347	58	72	81	98
524	1350	1	73	34	100
525	1351	0	63	29	99
526	1352	0	53	43	100
526	1353	53	100	0	47
527	1329	33	99	22	86
527	1353	0	55	47	99
528	1354	2	47	47	100
528	1355	47	94	0	55
529	1355	0	17	82	99
529	1356	17	99	0	81
530	1356	0	16	81	99
530	1357	16	67	0	60
530	1360	66	100	33	88
532	1367	59	82	0	19
535	1372	60	99	0	35
536	1372	0	65	35	100
536	1373	65	100	0	36
537	1374	67	99	0	31
538	1374	0	75	31	100
538	1375	75	97	0	20
539	1378	40	100	0	73
540	1378	0	25	73	100
541	1379	0	30	68	99
541	1380	30	100	0	66
542	1383	47	95	40	98
543	1384	2	44	0	41
545	1381	39	99	30	91
547	1387	35	99	34	98
548	1388	2	100	0	99
549	1389	0	81	0	78
551	1392	38	71	72	99
551	1393	71	97	0	23
552	1393	1	75	23	100
553	1401	0	28	75	99
554	1402	0	40	64	98
554	1403	41	87	22	65
555	1408	0	63	30	95
555	1409	65	100	45	86
556	1409	1	18	83	100
556	1411	56	99	4	46
557	1411	0	52	46	95
558	1396	18	100	2	61
560	1467	18	82	3	68
563	1394	48	81	66	98
565	1422	21	38	1	27
566	1424	0	45	13	58
566	1425	0	75	44	100
567	1441	0	62	31	100
567	1442	53	97	0	40
568	1442	2	54	41	99
568	1443	54	100	0	39
569	1443	0	56	39	100
570	3936	2	52	51	100
571	3937	0	48	50	96
571	3938	49	99	0	44
572	3938	0	42	53	99
572	3939	42	98	0	53
573	3943	47	97	1	78
574	3944	0	67	29	93
574	3946	69	100	31	63
575	3949	36	97	19	99
576	3951	74	95	0	24
577	3951	0	14	26	40
577	3957	54	75	2	27
578	3952	4	41	0	39
579	3957	42	99	2	56
582	3960	0	30	48	77
583	3973	0	79	15	97
584	3975	16	100	2	80
585	3976	41	86	55	92
586	3980	4	50	45	78
587	3983	20	97	19	88
588	3984	10	22	1	13
588	3996	37	99	37	99
589	3997	5	89	0	75
590	4001	26	52	29	54
591	4035	60	83	70	99
592	4037	16	30	5	20
592	4037	53	99	17	73
593	4038	26	89	31	100
595	4041	0	26	38	66
596	4049	0	16	19	35
596	4060	17	51	60	99
597	4062	0	60	37	100
597	4063	60	99	0	48
598	4070	42	100	6	61
599	4071	48	95	0	60
600	4077	9	65	46	99
601	4083	0	57	27	73
603	4102	14	65	48	99
603	4103	65	93	0	28
604	4110	31	60	72	97
605	3471	61	90	0	32
605	4111	5	41	32	65
605	4120	39	90	44	95
606	4123	40	81	41	78
607	4138	4	23	78	99
607	4139	24	99	15	82
608	4140	19	100	0	88
609	4141	10	30	0	22
609	4142	37	95	15	66
610	4142	0	24	76	100
610	4143	24	100	0	78
611	4144	25	100	0	74
612	4145	29	99	0	72
613	4145	0	28	72	100
614	4155	11	99	0	90
615	4198	23	100	14	82
616	4200	70	99	0	41
617	4200	0	28	41	69
620	4264	0	46	14	58
620	4272	46	91	27	80
621	4296	3	47	1	41
621	4332	44	100	34	86
623	4337	0	44	45	85
623	4338	40	99	1	64
624	4338	0	37	64	99
625	4341	0	41	58	99
625	4342	41	100	0	64
626	4342	0	34	64	100
626	4343	30	99	3	70
627	4343	0	27	70	99
627	4344	27	99	0	75
629	4346	0	30	11	38
630	4353	0	31	54	85
630	4386	67	98	0	27
631	4386	3	70	24	95
632	4385	0	34	21	57
633	4420	76	98	0	18
634	4421	34	73	63	99
634	4421	6	22	0	16
634	4422	73	89	0	20
635	4423	2	24	75	100
637	4433	2	74	30	99
639	4442	39	51	0	12
640	4442	3	25	63	80
640	4443	35	60	70	100
640	4444	60	85	0	30
641	4445	4	61	43	98
642	4447	0	27	49	77
642	4465	29	71	10	57
643	4466	0	14	58	72
643	4468	21	58	0	37
643	4469	59	100	38	79
644	4472	16	64	56	100
644	4473	64	76	0	12
644	4473	83	99	67	79
645	4474	14	30	0	17
645	4477	66	100	12	41
646	4477	0	41	41	83
647	4497	60	99	13	58
649	4518	9	41	36	69
650	4525	73	99	0	22
651	4525	0	17	22	41
651	4526	45	100	1	63
652	4526	0	44	63	100
652	4527	61	71	90	100
652	4528	70	99	12	42
653	4528	0	60	42	99
653	4529	60	80	0	20
653	4529	79	100	26	53
654	4530	38	100	0	63
655	4532	6	52	0	42
655	4544	53	99	43	85
656	4544	0	15	85	100
656	4545	15	68	0	60
657	4555	4	46	58	100
657	4556	46	98	0	44
658	4561	25	55	0	32
659	4600	28	47	0	28
659	4601	49	72	3	26
659	4601	76	98	63	85
660	4606	25	84	11	71
661	4610	14	69	48	97
661	4611	69	99	3	29
662	4611	0	58	29	83
662	4612	60	100	32	75
663	4613	22	99	0	82
665	4625	0	33	12	46
665	4635	46	100	0	57
666	4634	16	81	2	63
667	4658	21	86	35	99
669	4741	15	59	0	43
670	4747	67	100	66	92
671	4749	11	40	72	96
671	4753	61	98	0	34
672	4782	59	88	71	99
672	4783	88	99	0	11
673	4783	1	95	17	100
674	4784	0	70	5	86
676	4788	0	87	0	100
677	4791	6	42	64	99
677	4792	35	74	2	41
678	4799	57	90	0	33
679	4801	1	45	37	94
679	4811	46	82	50	91
681	4827	11	57	45	91
682	4980	0	47	35	81
682	4980	64	76	86	97
684	4986	41	77	21	57
685	4987	0	39	53	91
685	4990	45	95	32	83
686	4991	0	27	27	57
687	4999	69	99	3	33
688	5020	35	91	38	100
689	5022	4	100	2	88
690	268	32	64	64	95
691	270	0	34	62	94
691	271	28	78	30	72
692	274	35	70	46	80
695	284	52	92	28	67
696	285	0	76	10	95
697	286	5	30	56	77
698	289	0	40	1	39
698	289	50	75	72	95
700	295	71	94	0	22
701	301	68	98	0	28
704	312	32	69	26	60
704	313	66	87	44	63
705	315	27	44	0	13
705	316	52	75	10	34
705	317	74	96	17	41
706	318	16	74	30	86
708	323	0	78	14	80
709	319	2	49	39	100
709	320	49	87	0	30
710	325	16	62	41	84
711	329	9	44	6	35
712	330	2	46	57	99
715	337	0	29	3	24
727	1404	9	52	29	95
732	1444	50	60	0	12
732	1444	66	99	35	73
733	1444	0	26	73	99
734	1446	0	36	55	99
734	1447	36	99	0	78
735	1448	16	46	0	33
736	1462	3	82	24	100
737	1468	21	84	0	59
738	1465	1	18	78	99
739	1473	48	92	0	43
750	1557	55	74	78	98
751	1558	4	64	35	99
751	1559	64	99	0	41
759	1595	0	27	73	97
764	1599	12	39	49	70
766	1650	0	67	16	99
767	1651	1	33	21	46
767	1651	44	60	82	100
768	1652	0	56	42	99
771	1677	46	99	8	68
773	1791	21	41	79	100
778	1684	54	100	17	81
779	1684	0	18	81	99
779	1685	18	99	0	75
780	1686	16	96	0	98
789	1802	1	65	40	99
790	1803	7	57	33	100
790	1804	57	99	0	40
793	1821	25	42	79	99
802	1575	61	100	16	60
803	1575	0	25	60	99
803	1576	25	99	1	82
804	1576	0	16	82	99
804	1577	16	51	2	35
804	1580	68	100	0	33
806	1584	21	100	0	84
807	1584	0	16	84	100
808	1586	9	84	18	100
809	1587	0	84	15	100
809	1588	84	100	0	16
810	1588	0	47	17	81
810	1601	46	81	23	61
812	1604	0	37	16	51
812	1604	39	50	88	99
812	1605	51	70	80	99
812	1606	70	96	0	23
813	1607	56	99	29	68
814	1607	0	27	68	99
814	1611	63	98	54	95
815	1612	5	56	0	35
815	1614	54	100	0	57
816	1616	45	99	32	85
817	1616	0	13	85	98
817	1617	24	95	41	100
817	1618	67	90	6	30
818	1618	9	82	32	98
819	1619	5	69	39	100
820	1621	7	92	20	100
822	1623	0	35	68	100
822	1624	44	85	60	99
824	1627	7	99	0	97
825	1631	30	94	9	99
826	1632	2	32	75	100
826	1633	32	43	0	11
826	1633	54	67	62	75
829	1641	6	45	38	74
829	1645	61	92	0	27
830	1645	0	69	30	100
830	1646	71	100	0	27
831	1646	0	86	27	99
833	1661	0	37	30	69
834	1657	76	100	0	26
835	1660	68	99	11	38
839	1667	0	41	26	70
839	1671	57	100	2	45
840	1671	3	59	44	100
840	1672	59	99	0	40
841	1672	6	31	69	99
841	1673	30	100	0	67
842	1673	1	29	70	100
842	1682	40	96	0	60
843	1682	0	41	59	99
844	1687	0	37	34	67
844	1689	53	64	0	11
844	1689	78	99	74	95
845	1691	38	86	0	34
846	1691	3	45	58	97
846	1693	61	95	0	29
847	1693	0	32	67	98
848	1700	2	88	0	87
849	1701	5	47	63	100
849	1702	47	94	0	68
850	1706	30	57	77	100
850	1707	57	75	0	18
853	1708	32	100	21	97
854	1709	19	73	35	100
855	1713	49	97	33	68
856	1713	0	25	71	99
857	1715	4	59	0	84
857	1720	71	100	51	93
858	1721	6	39	0	56
858	1722	42	99	3	68
859	1723	10	75	3	100
860	1724	1	55	20	100
860	1725	57	100	2	49
861	1725	11	26	84	99
862	1727	6	87	0	97
862	1728	88	100	21	33
863	1733	65	99	31	68
864	1734	25	80	9	74
865	1735	0	26	31	49
865	1736	42	56	0	16
866	1737	0	32	39	79
866	1738	36	99	0	64
867	1739	31	65	0	36
868	1747	40	62	13	35
868	1748	64	99	36	72
869	1749	21	90	0	73
870	1750	0	12	84	97
870	1751	13	44	0	34
870	1752	41	65	79	100
871	1756	1	36	57	100
872	1762	11	22	6	17
872	1762	32	42	85	96
873	1774	0	58	39	92
873	1780	46	99	28	94
875	1782	8	81	32	98
875	1783	82	99	14	31
877	1786	30	99	0	62
878	1787	37	60	1	25
878	1787	71	100	64	89
879	1787	0	10	89	99
879	1788	10	99	0	83
880	1789	10	61	0	48
883	1789	42	85	66	100
883	1797	10	40	66	99
885	1791	47	99	7	90
888	1825	22	100	7	87
890	1826	0	20	78	100
890	1827	20	91	0	72
892	1815	71	100	26	53
893	1815	4	22	53	74
911	1052	0	50	35	95
917	1838	39	98	0	71
919	1841	7	77	4	100
919	1842	77	98	0	24
921	1833	0	20	34	55
921	1833	19	54	63	100
921	1834	82	99	75	89
923	1844	53	85	30	68
926	1854	0	12	16	28
926	1854	89	99	41	50
927	1854	0	10	50	64
927	1854	8	35	75	93
927	1855	34	100	1	69
930	1857	1	22	78	98
931	1861	6	17	31	42
931	1861	64	85	83	100
931	1862	85	100	0	19
931	1874	25	52	0	26
931	2187	18	52	50	83
932	1862	0	60	19	99
933	1863	0	73	31	100
933	1864	73	99	0	23
935	1867	80	100	2	37
936	1867	0	48	37	92
937	1868	0	34	73	100
937	1869	34	96	0	65
938	1869	0	33	65	99
938	1870	33	100	0	76
939	1870	1	25	77	100
939	1872	63	99	0	31
940	1877	73	100	28	58
941	1848	52	99	30	88
943	1878	30	84	24	79
944	1879	0	21	58	99
945	1881	0	18	63	80
945	1882	19	57	16	58
945	1882	58	79	80	97
946	1889	4	99	0	97
947	1891	21	93	10	75
948	1892	2	50	1	53
948	1893	67	100	0	32
949	1893	0	52	32	85
949	1893	59	74	82	97
949	1894	74	99	3	26
950	1894	0	86	26	97
951	1895	0	15	86	99
951	1896	19	95	0	99
952	1898	75	99	0	24
953	1898	0	80	24	100
956	1903	3	71	10	85
957	1905	28	74	21	66
958	1907	2	51	50	99
959	1909	16	96	0	67
960	1909	0	31	68	99
960	1943	37	99	29	86
961	1945	32	50	28	49
963	1949	3	93	0	81
967	1954	73	98	0	22
969	1963	4	55	21	68
970	1964	38	57	1	23
970	1964	79	100	58	80
971	1964	0	18	80	99
971	1965	18	98	1	82
972	1952	44	59	84	99
972	1953	59	97	0	39
973	1954	16	39	22	51
973	1958	44	99	6	62
974	1958	0	41	62	100
974	1959	41	65	0	20
974	1959	65	89	40	61
975	1959	0	21	77	99
975	1960	21	99	0	77
976	1966	1	17	84	99
976	1967	17	100	0	74
977	1967	0	36	74	98
977	1968	37	69	26	58
978	1969	1	31	45	75
979	1971	0	92	19	100
980	1972	1	75	19	85
981	1978	0	74	27	99
982	1913	63	83	42	57
982	1913	87	100	79	93
983	1919	39	84	43	98
984	1920	2	63	7	95
984	1921	63	95	2	33
985	1923	14	95	2	77
986	1923	0	22	78	100
986	1924	25	100	1	75
986	2011	0	24	1	23
986	2011	76	87	55	66
987	1924	0	28	75	99
987	1925	28	46	0	19
987	1955	50	100	0	52
987	2011	2	39	65	99
988	1955	0	38	52	91
988	1956	40	90	18	80
989	1961	31	86	29	90
990	1980	51	100	0	53
991	1980	3	37	64	100
991	1981	37	99	0	62
992	1981	0	35	62	99
992	1982	35	100	0	65
993	1982	0	30	65	100
993	1983	30	100	0	81
994	1973	10	46	0	34
994	1973	65	79	81	95
995	1975	11	76	1	51
995	1986	76	99	66	91
996	1987	11	95	0	99
997	1992	9	32	77	100
997	1993	40	99	18	87
999	1998	0	42	54	92
1000	1994	30	99	21	96
1000	1999	0	29	44	64
1001	1928	62	99	56	91
1001	1995	4	30	0	23
1001	2052	62	95	70	100
1002	1929	9	93	0	99
1002	2053	11	46	6	49
1002	2053	88	100	63	78
1003	1930	1	62	10	92
1003	1933	61	99	26	66
1003	2053	1	16	81	96
1004	1935	0	56	38	100
1004	1936	56	100	0	71
1005	1988	8	54	38	100
1005	1990	66	99	34	78
1006	1990	0	26	78	100
1006	2023	54	69	5	23
1007	2013	18	55	60	97
1007	2014	55	81	1	30
1007	2014	88	99	73	87
1008	2015	14	53	56	100
1009	2018	0	30	70	100
1009	2019	30	97	0	62
1010	2019	0	39	60	100
1010	2020	39	100	0	60
1011	2021	1	37	64	100
1011	2022	37	99	0	54
1012	2022	0	28	54	77
1012	2023	15	86	8	73
1013	2024	43	66	80	99
1013	2024	5	28	6	37
1015	2000	40	91	11	54
1016	2003	46	96	32	82
1017	1710	3	50	52	99
1017	1941	60	91	2	43
1017	2001	3	32	65	99
1017	2002	32	60	0	29
1018	2012	59	100	34	77
1019	2012	0	22	77	100
1019	2030	37	99	0	65
1020	2031	19	100	0	71
1021	2031	3	22	70	89
1021	2036	33	59	68	95
1021	2037	60	99	29	74
1022	2038	0	35	60	100
1022	2040	43	58	42	69
1022	2041	67	100	20	62
1026	2044	11	37	26	54
1026	2047	64	98	39	77
1027	2049	58	78	32	63
1038	2056	4	24	67	87
1038	2057	56	100	0	45
1038	2058	53	80	30	48
1038	2058	6	24	3	21
1039	2057	0	22	45	70
1039	2060	17	94	13	99
1040	2061	0	100	1	98
1041	2062	2	17	0	18
1041	2063	49	89	0	39
1041	2063	89	99	66	76
1043	2064	5	62	25	80
1044	2067	59	100	0	41
1045	2067	0	46	41	100
1045	2068	46	62	0	12
1045	2068	68	99	55	87
1046	2069	12	68	16	71
1046	2070	69	100	0	29
1047	2070	0	43	32	76
1047	2071	44	87	1	40
1048	2073	52	97	0	42
1049	2073	0	36	56	95
1049	2077	37	99	17	85
1052	2084	10	64	35	99
1052	2085	64	100	0	36
1057	2085	49	71	78	100
1057	2086	65	82	11	28
1058	2087	14	60	0	47
1059	2091	0	31	31	58
1061	2092	31	99	19	90
1063	2094	0	30	40	75
1063	2095	31	76	13	58
1064	2097	47	91	55	97
1066	1938	28	90	0	56
1066	2109	1	45	51	99
1066	2110	45	90	0	45
1067	2112	0	100	11	91
1068	2108	30	95	39	100
1069	2113	13	77	24	98
1070	2114	0	57	39	99
1071	2115	37	89	41	100
1072	2119	27	99	0	66
1076	2121	0	21	59	80
1077	2127	60	100	0	43
1078	2127	0	50	43	100
1078	2128	50	99	0	59
1079	2128	0	40	59	99
1079	2129	40	100	0	61
1080	2130	40	99	0	60
1081	2133	32	100	30	95
1081	2135	66	100	50	83
1084	2137	52	100	12	64
1085	2137	0	34	64	99
1085	2138	34	65	0	31
1086	2141	0	21	51	69
1086	2160	58	99	19	64
1087	2160	3	35	62	99
1087	2161	34	85	1	65
1088	2152	3	78	0	99
1088	2153	78	100	0	22
1089	2154	45	99	27	90
1090	2154	0	10	90	100
1090	2155	10	89	2	91
1091	2156	2	36	32	66
1091	2157	44	69	0	25
1092	2162	0	63	43	99
1092	2163	63	100	0	33
1093	2165	8	57	51	99
1093	2166	57	99	0	42
1093	3629	8	73	51	100
1093	3630	73	99	0	23
1094	2166	0	49	42	95
1094	2167	48	100	0	72
